a_hat,b_hat,sigma1_hat,nll,success,case,df
1.0099660105960921,0.5239054355563605,0.9510642783167926,192.03377457948196,True,"a=1, b=0.9, s1=1",
1.00547173267547,0.6891140224468195,0.7786938770554825,180.15497760035285,True,"a=1, b=0.9, s1=1",
1.0003539104212764,0.9848630910947291,0.7720546967020009,174.3784776026151,True,"a=1, b=0.9, s1=1",
0.998415473319735,0.977667974175416,0.8356622849897075,177.5247825459453,True,"a=1, b=0.9, s1=1",
0.995350847439615,1.1230269804674966,1.1426789343433759,195.67369441372767,True,"a=1, b=0.9, s1=1",
1.0006893256640588,0.9680118829206473,1.1112421716007577,193.003476019435,True,"a=1, b=0.9, s1=1",
1.0035731359000217,0.6994395084442074,0.8515684984095289,179.00541908393836,True,"a=1, b=0.9, s1=1",
1.0036151933767834,0.867506665735036,0.9345217571597315,185.6753366437808,True,"a=1, b=0.9, s1=1",
0.9951183838608683,1.2565372597814908,0.907949588917062,185.5964717457606,True,"a=1, b=0.9, s1=1",
0.9950871277288709,1.2226262734477522,1.0142006152912708,194.83336345736,True,"a=1, b=0.9, s1=1",
0.9978964511694403,1.0506413757625694,0.7371756714826944,180.26064806990166,True,"a=1, b=0.9, s1=1",
1.0007942198337993,1.0228075812816166,0.8624796071197647,191.16488923476908,True,"a=1, b=0.9, s1=1",
1.0038980832994762,0.6539619558222537,1.1541289822769185,196.1919582145433,True,"a=1, b=0.9, s1=1",
1.0005943730390818,0.9233789997086428,0.9654071045375139,189.07151211102854,True,"a=1, b=0.9, s1=1",
1.0018319999557537,0.8369900162752626,1.0919031307708067,197.38844018607924,True,"a=1, b=0.9, s1=1",
0.99983305270715,0.8592281505131317,1.031751774138711,192.08657963658135,True,"a=1, b=0.9, s1=1",
0.9951246858782483,1.1956953670808577,1.1661602286353236,196.1333868967128,True,"a=1, b=0.9, s1=1",
0.9983616482811087,1.0175391595899412,0.9034058276079555,186.49333026595642,True,"a=1, b=0.9, s1=1",
0.999564923911172,0.9509929449306516,0.8245980374071931,185.19297668062586,True,"a=1, b=0.9, s1=1",
1.0059118269628362,0.5406769550322331,0.9300732884610379,182.61679960016747,True,"a=1, b=0.9, s1=1",
0.9961075517181643,1.0506783258508856,0.9651990346688273,188.13665904032263,True,"a=1, b=0.9, s1=1",
1.003905844886624,0.7251710553772273,1.054561766692839,192.12069345014422,True,"a=1, b=0.9, s1=1",
